"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"418",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola algeriensis",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"560","1768010","1"
"419",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola corallina",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"449","657018","1"
"420",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola timorensis",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"448","657017","1"
"421",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema","Actinosynnema pretiosum",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"408","42198","1"
"422",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Lentzea","Lentzea aerocolonigenes",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"420","68170","1"
"423",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Lentzea","Lentzea fradiae",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"363","200378","1"
"424",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Lentzea","Lentzea rhizosphaerae",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"539","2041025","1"
"425",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia hispaniensis",1,1.37736114133654e-06,1.2,1.59770763346987e-06,"480","904933","1"
"426",NA,NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora","Saccharomonospora viridis",1,1.37736114133654e-06,1,1.37771219867712e-06,"375","1852","1"
"427",NA,NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Herbidospora","Herbidospora daliensis",1,1.37736114133654e-06,1,1.37570044688503e-06,"469","295585","1"
"428",NA,NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Streptosporangium","Streptosporangium amethystogenes",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"369","698418","1"
"429",NA,NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Streptosporangium","Streptosporangium kronopolitis",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"517","1441877","1"
"430",NA,NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Streptosporangium","Streptosporangium roseum",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"486","479432","1"
"431",NA,NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Streptosporangium","Streptosporangium shengliense",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"504","1301839","1"
"432",NA,NA,"Actinomycetota","Thermoleophilia","Miltoncostaeales","Miltoncostaeaceae","Miltoncostaea","Miltoncostaea marina",1,1.37736114133654e-06,1,1.37771219867712e-06,"584","2843215","1"
"433",NA,NA,"Bacillota","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus ginsengisoli",1,1.37736114133654e-06,1,1.37721146145227e-06,"467","363888","1"
"434",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Alkalihalobacterium","Alkalihalobacterium elongatum",1,1.37736114133654e-06,1,1.37771219867712e-06,"520","2675466","1"
"435",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Anaerobacillus","Anaerobacillus alkalidiazotrophicus",1,1.37736114133654e-06,1,1.38746418947885e-06,"419","472963","1"
"436",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Halalkalibacter","Halalkalibacter hemicellulosilyticus",1,1.37736114133654e-06,1,1.37782443182868e-06,"461","127886","1"
"437",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Lottiidibacillus","Lottiidibacillus patelloidae",1,1.37736114133654e-06,1.2,1.65156247670767e-06,"540","2670334","1"
"438",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Neobacillus","Neobacillus cucumis",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"529","1740721","1"
