"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"84",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",9,1.27058883321827e-05,8.5,1.20654663993678e-05,"83","564","1"
"85",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea agglomerans",9,1.27058883321827e-05,9.1,1.28525058695369e-05,"81","549","1"
"86",NA,NA,"Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter ginsenosidimutans",8,1.12941229619402e-05,3.6,5.11436671291583e-06,"90","490573","1"
"87",NA,NA,"Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter soli",8,1.12941229619402e-05,3.6,5.11436671291583e-06,"91","363832","1"
"88",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus bingmayongensis",8,1.12941229619402e-05,7.9,1.11229007210045e-05,"92","1150157","1"
"89",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Halalkalibacter","Halalkalibacter oceani",8,1.12941229619402e-05,9.3,1.31347954820659e-05,"93","1653776","1"
"90",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pseudoavium",8,1.12941229619402e-05,8.6,1.21511424898034e-05,"86","44007","1"
"91",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus silesiacus",8,1.12941229619402e-05,7.6,1.07485437640364e-05,"89","332949","1"
"92",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus villorum",8,1.12941229619402e-05,8.5,1.20418924656473e-05,"87","112904","1"
"93",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus koreensis",8,1.12941229619402e-05,7.9,1.10977647447443e-05,"88","290306","1"
"94",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia cardiffensis",7,9.88235759169769e-06,6.8,9.6008991470364e-06,"95","181487","1"
"95",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Alkalihalobacillus","Alkalihalobacillus macyae",7,9.88235759169769e-06,7.9,1.11054652716151e-05,"97","157733","1"
"96",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina ventriculi",7,9.88235759169769e-06,7,9.88538601020169e-06,"94","1267","1"
"97",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis",7,9.88235759169769e-06,7,9.88538601020169e-06,"98","871665","1"
"98",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques",7,9.88235759169769e-06,7,9.88538601020169e-06,"96","33039","1"
"99",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae",7,9.88235759169769e-06,8,1.13322533716515e-05,"99","1499973","1"
"100",NA,NA,"Actinomycetota","Actinomycetes","Nakamurellales","Nakamurellaceae","Nakamurella","Nakamurella flavida",6,8.47059222145516e-06,6,8.47318800874431e-06,"107","363630","1"
"101",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",6,8.47059222145516e-06,9.6,1.36025753640291e-05,"105","1642","1"
"102",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus antarcticus",6,8.47059222145516e-06,5.9,8.27691594649385e-06,"103","161360","1"
"103",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pseudolugdunensis",6,8.47059222145516e-06,6,8.52368324488344e-06,"110","425474","1"
"104",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus antri",6,8.47059222145516e-06,1.2,1.69463714000281e-06,"104","227943","1"
"105",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus caviae",6,8.47059222145516e-06,1.2,1.69463714000281e-06,"109","1769424","1"
